Ticker,Date,Open,High,Low,Close,Adj Close,Volume,Daily Price Chanmge
AAPL,2/7/2023,150.64,155.23,150.64,154.65,154.4142303,83322600,-4.01
AAPL,2/8/2023,153.88,154.58,151.17,151.92,151.6884003,64120100,1.96
AAPL,2/9/2023,153.78,154.33,150.42,150.87,150.6399994,56007100,2.91
AAPL,2/10/2023,149.46,151.34,149.22,151.01,151.0099945,57450700,-1.55
AAPL,2/13/2023,150.95,154.26,150.92,153.85,153.8500061,62199000,-2.9
AAPL,2/14/2023,152.12,153.77,150.86,153.2,153.1999969,61707600,-1.08
AAPL,2/15/2023,153.11,155.5,152.88,155.33,155.3300018,65573800,-2.22
AAPL,2/16/2023,153.51,156.33,153.35,153.71,153.7100067,68167900,-0.2
AAPL,2/17/2023,152.35,153,150.85,152.55,152.5500031,59144100,-0.2
AAPL,2/21/2023,150.2,151.3,148.41,148.48,148.4799957,58867200,1.72
AAPL,2/22/2023,148.87,149.95,147.16,148.91,148.9100037,51011300,-0.04
AAPL,2/23/2023,150.09,150.34,147.24,149.4,149.3999939,48394200,0.69
AAPL,2/24/2023,147.11,147.19,145.72,146.71,146.7100067,55469600,0.4
AAPL,2/27/2023,147.71,149.17,147.45,147.92,147.9199982,44998500,-0.21
AAPL,2/28/2023,147.05,149.08,146.83,147.41,147.4100037,50547000,-0.36
AAPL,3/1/2023,146.83,147.23,145.01,145.31,145.3099976,55479000,1.52
AAPL,3/2/2023,144.38,146.71,143.9,145.91,145.9100037,52238100,-1.53
AAPL,3/3/2023,148.04,151.11,147.33,151.03,151.0299988,70732300,-2.99
AAPL,3/6/2023,153.79,156.3,153.46,153.83,153.8300018,87558000,-0.04
AAPL,3/7/2023,153.7,154.03,151.13,151.6,151.6000061,56182000,2.1
AAPL,3/8/2023,152.81,153.47,151.83,152.87,152.8699951,47204800,-0.06
AAPL,3/9/2023,153.56,154.54,150.23,150.59,150.5899963,53833600,2.97
AAPL,3/10/2023,150.21,150.94,147.61,148.5,148.5,68572400,1.71
AAPL,3/13/2023,147.81,153.14,147.7,150.47,150.4700012,84457100,-2.66
AAPL,3/14/2023,151.28,153.4,150.1,152.59,152.5899963,73695900,-1.31
AAPL,3/15/2023,151.19,153.25,149.92,152.99,152.9900055,77167900,-1.8
AAPL,3/16/2023,152.16,156.46,151.64,155.85,155.8500061,76161100,-3.69
